name,amenity,shop,leisure,longitude,latitude,n_cafe_200m,n_supermarket_200m,n_convenience_200m,n_parking_200m,has_cinema_300m,avm_score,avm_label
Aksa İş Merkez,,mall,,28.9540425,41.0081869,7,5,6,0,0,46,very_high
Fatih Ucuzluk Pazarı,,mall,,28.9448993,41.0288543,6,2,11,1,0,45,very_high
evim avm,,mall,,28.9384282,41.0073322,11,4,2,1,0,45,very_high
İstanbul AVM,,mall,,29.1324173,40.9239293,7,7,0,1,0,45,very_high
Emintaş İş Merkezi,,mall,,29.025523311749986,40.99216295552145,11,3,1,0,1,44,very_high
Eser Çarşısı,,mall,,29.0172975,41.0244551,8,4,1,3,0,43,very_high
Sezer AVM,,mall,,29.2738255,40.9718445,0,8,5,0,0,42,very_high
Mega Çarşım,,mall,,29.1326679,40.9249408,7,6,2,0,0,42,very_high
Watergarden AVM,,mall,,29.09950861081127,40.99768674904502,12,2,1,0,1,42,very_high
Sinanpaşa İş Merkezi,,mall,,29.00596793920184,41.04293739764473,12,1,3,0,1,42,very_high
Pirilti,,mall,,29.2473056,40.9692986,0,9,3,0,0,42,very_high
Hakmar,,mall,,29.2638445,40.9668645,7,3,6,1,0,41,very_high
Grandhaus,,mall,,29.13141091026564,40.92580856808946,8,5,1,1,0,41,very_high
Gönen Alışveriş Merkezi,,mall,,29.2662554,40.9763406,2,5,8,0,0,40,very_high
A.V.M. 34,,mall,,29.1327767,40.9237154,6,7,0,0,0,40,very_high
Çin pazarı,,mall,,28.9433505,41.0171464,5,3,9,0,0,40,very_high
Gormez avm,,mall,,28.8439841,41.0408874,1,4,11,0,0,40,very_high
Mısır Çarşısı,marketplace,mall,,28.971001345243263,41.01644457560809,14,1,3,0,0,38,very_high
Historia Alışveriş ve Yaşam Merkezi,,mall,,28.945291564669,41.01441772737582,5,5,4,0,0,38,very_high
TAKIDASANAT ATÖLYE,,mall,,28.9718013,41.0092695,13,2,0,1,0,37,very_high
Byz Dizayn,,mall,,28.96621,41.0157676,7,3,1,3,0,37,very_high
Yağmur Kırtasiye,,mall,,29.2756976,40.9739451,0,6,6,0,0,36,very_high
Hakmar,,mall,,29.2662243,40.9765079,2,4,8,0,0,36,very_high
Cennet Center,,mall,,29.2135156,41.009117,10,4,0,0,0,36,very_high
Hakmar,,mall,,29.2662451,40.9764436,2,4,8,0,0,36,very_high
Hobilant AVM,,mall,,29.1327412,40.9259648,7,5,1,0,0,36,very_high
Kent Center,,mall,,28.9667084,41.0071959,4,5,4,0,0,36,very_high
Çetinkaya,,mall,,29.03173305374733,40.989375516207126,5,2,3,1,1,35,very_high
AK Çarşı,,mall,,29.2656469,40.978189,4,3,7,0,0,34,very_high
44 AVM,,mall,,29.1324398,40.925869,6,5,1,0,0,34,very_high
Yolaç plaza,,mall,,29.039622728937506,40.9834929633246,5,5,2,0,0,34,very_high
Hakmar,,mall,,29.2604113,40.9672695,2,5,3,1,0,33,very_high
Bereket kahvalti dünyasi,,mall,,29.2755604,40.9680392,1,4,7,0,0,32,very_high
Hakmar,,mall,,29.2776333,40.9650254,4,3,6,0,0,32,very_high
City's Nişantaşı,,mall,,28.9927874581649,41.051063971776834,9,3,1,0,0,32,very_high
Cadde AVM,,mall,,29.1308692,41.0154863,2,6,2,0,0,32,very_high
İMÇ Çarşısı,,mall,,28.95765827202408,41.01730718109701,5,2,0,2,1,32,very_high
ÖRNEK,,mall,,28.8597885,41.0462314,1,7,0,0,0,30,high
Ekinoks Beylikdüzü,,mall,,28.644336059676004,41.01258333640168,13,1,0,0,0,30,high
Hakmar,,mall,,29.2760592,40.9686874,1,4,6,0,0,30,high
Ev Shop,,mall,,29.1345014,40.9229049,5,5,0,0,0,30,high
Hakmar,,mall,,29.2657757,40.9785049,3,2,7,0,0,28,high
mytopuk,,mall,,28.9665015,41.0079709,7,2,3,0,0,28,high
Hakmar,,mall,,29.2763328,40.968719,1,4,5,0,0,28,high
Hakan Bazaar,,mall,,28.9558264,41.00719,0,4,3,2,0,28,high
İstanbul Sanatları Çarşısı,,mall,,28.9788085,41.0063554,10,0,4,0,0,28,high
Mopaş,,mall,,29.1228296,40.9348051,4,4,2,0,0,28,high
Kalvi Center,,mall,,28.9560381,41.007992,2,6,0,0,0,28,high
Gamze Outlet,,mall,,29.1305796,41.015749,2,5,2,0,0,28,high
Hakmar,,mall,,29.2567635,40.9589653,1,6,0,0,0,26,high
Sözen Center,,mall,,28.9659945,41.0079475,7,2,2,0,0,26,high
