name,amenity,leisure,longitude,latitude
Zihnipaşa Camii,place_of_worship,,29.07697440846917,40.97190143750276
,place_of_worship,,28.67396182829545,41.15500569711549
,place_of_worship,,28.71241039752811,41.15536439780967
,place_of_worship,,28.627277687714756,41.26215250042254
,place_of_worship,,29.290530816607767,40.857633693691746
Tavşantepe İrşat Camii,place_of_worship,,29.245413,40.88054315
Binkılıç Camii,place_of_worship,,28.18688705,41.41336855
Mimar Sinan Camii,place_of_worship,,28.20542365,41.374694
,place_of_worship,,28.287223371610278,41.31473865666698
,place_of_worship,,28.4183327,41.2575204
Valide Hanı Mescidi,place_of_worship,,28.968486757488385,41.01371839348894
Yavaşçı Şahin Mehmet Ali Paşa Cami,place_of_worship,,28.967720799253083,41.015867362468605
Bezzazi Cedit Camii,place_of_worship,,28.96732811073538,41.01444261521051
İhsaniye Merkez Camii,place_of_worship,,28.35835505,41.2547332
Mehmed Zahid Kotku Cami-i Şerifi,place_of_worship,,28.659925915015222,41.05792347328913
Muhammediye Cami,place_of_worship,,28.681785249875865,41.03638880208301
,place_of_worship,,28.6731514420751,41.02122746161645
Süleyman Çelebi Camii,place_of_worship,,28.714611827651698,40.98661743038606
Avcılar Merkez Ulu Camii Külliyesi,place_of_worship,,28.72118590000001,40.979723150000005
,place_of_worship,,28.760164435837588,41.10152658807429
Ömer Fahrettin Paşa Camii,place_of_worship,,28.770435689722955,41.105018230399445
Fatih Cami,place_of_worship,,28.534347888535297,41.02537704721819
Medine Cami,place_of_worship,,28.51489149170624,41.02479228874655
,place_of_worship,,28.5042786955018,41.03197828976892
Cami,place_of_worship,,28.499969603330356,41.00964503208218
,place_of_worship,,28.496876311377953,41.02008299710457
Cami,place_of_worship,,28.46248574538741,41.03058661832015
Cami,place_of_worship,,28.3276261,41.06143075
,place_of_worship,,28.309323950000003,41.06697789999999
Piri Mehmet Paşa Camisi,place_of_worship,,28.245575870820176,41.07347435406922
Mimar Sinan Camii,place_of_worship,,28.241179095542055,41.08447543505198
Hacı Dursun Yıldırım Camii,place_of_worship,,28.156834896266716,41.09568045435705
Cami,place_of_worship,,28.147149900000006,41.074337
Kayışdağı Fatih Camii,place_of_worship,,29.1502702,40.9806228
Hz. Ebubekir Camii,place_of_worship,,28.86824589537433,41.034899460226235
Bağcılar Merkez Camii,place_of_worship,,28.85734311926678,41.03407830843506
Eyüp Sultan Camii,place_of_worship,,28.93372677636252,41.048027073256016
Sofa-i Hümâyûn Camii,place_of_worship,,28.985601510378203,41.013384666600814
Beşir Ağa Camii,place_of_worship,,28.982355453755073,41.01179396517417
Mustafa Kanat Cami,place_of_worship,,29.112140880023656,40.989887954969355
Hacı Beşir Ağa Camii,place_of_worship,,28.97732239238847,41.01066301831555
Molla Fenari Camii,place_of_worship,,28.975307049112846,41.00905221153291
Cezeri Kasımpaşa Camii,place_of_worship,,28.974348460488873,41.01003791991712
Şişli Merkez Camii,place_of_worship,,28.98774838626664,41.061431364720434
Topağacı Camii,place_of_worship,,29.102054512738047,41.04681577356453
Ulubatlı Hasan Camii,place_of_worship,,28.69403357201879,41.001724251134995
Selime Hatun Camii,place_of_worship,,28.988955093527338,41.034713884591774
Omer Avni Camii,place_of_worship,,28.992369936317342,41.03477753051969
,place_of_worship,,28.793948323308946,41.06730943495456
Yenişehir Petekkent Camii,place_of_worship,,29.300725317315948,40.92389540381279
basınköy Camii,place_of_worship,,28.777672230381963,40.98141057668676
Şenlikköy Cami,place_of_worship,,28.79434055,40.9798471
Florya Yeni Cami,place_of_worship,,28.79266712806676,40.98745001329851
Zeynebiye Camii ve Kültür Merkezi,place_of_worship,,28.802817826989322,41.03649326653255
Yenidoğan Camii,place_of_worship,,29.139090867778528,40.943781893334304
Hacı Harun Ekşi Camii,place_of_worship,,29.056683243671085,41.02780951882938
Kıroğlu Camii,place_of_worship,,29.056740303276772,41.033258062625116
Fahri Kasapoğlu Cami,place_of_worship,,29.14723999665525,40.95570296747227
Kilyos Yeni Cami,place_of_worship,,29.036597045045085,41.24528006790633
İlim Sarayı Camii,place_of_worship,,29.103759651992956,41.032086032799945
Berat Camii,place_of_worship,,29.10299995876901,41.03417534832745
Yeni Camii,place_of_worship,,29.183583073619662,40.893884061800016
Hz. Ebubekir Camii,place_of_worship,,29.00632034013562,41.05710025340801
Hekimbaşı Merkez Cami,place_of_worship,,29.099995401456276,41.059957480330354
Tomtom Camii,place_of_worship,,28.97886972765567,41.03051303649784
Yunus Emre Camii,place_of_worship,,29.291751300000005,40.91800725000001
,place_of_worship,,29.00183450300612,41.072854297727574
,place_of_worship,,28.975128918916358,41.07519485492154
Çeliktepe Merkez Camii,place_of_worship,,28.999649863038183,41.08355630991989
Sacit Ateş Camii,place_of_worship,,28.65724105,41.000407
Sarıgöl Cami,place_of_worship,,28.918021737065924,41.05822658410821
Mehmet Üretmen Cami,place_of_worship,,28.89084135751431,41.08223540433758
Mina Cami,place_of_worship,,28.884741275064155,41.084795650569085
Vahdet Camii,place_of_worship,,28.88044988405542,41.08228480932371
Libadiye Camii,place_of_worship,,29.078722891769388,40.9934736731529
Örnek Mimar Sinan Camii,place_of_worship,,29.075052299375393,40.99629016678901
Takva Cami,place_of_worship,,29.078217442930576,40.99805835749404
,place_of_worship,,29.080976525523784,40.99933787437329
Zekeriya Bey Câmii,place_of_worship,,29.079637249999998,41.003001399999995
Hazreti Muhammed Camii,place_of_worship,,29.07278855,41.0118542
Mirac Cami,place_of_worship,,29.100820313901835,41.05171922372965
Mescid-i Aksa Camii,place_of_worship,,29.0772526,41.05740045000001
,place_of_worship,,29.0810347,41.0616146
Yıldırım Yeni Cami,place_of_worship,,28.89253675725461,41.06812776663898
Hz. Ali Cami,place_of_worship,,28.75338935,41.0852717
