latitude,longitude,target_id,name,station_main_count,school_public_count,supermarket_main_count,cafe_main_count,bar_main_count,park_main_count,mall_main_count,score_total,score_breakdown
41.067049497464566,29.00052182435297,cell_004914,cell_004914,5,3,21,11,1,10,2,66.32311542931555,"{""station_main"": 20.278109929060957, ""school_public"": 12.642411176571153, ""supermarket_main"": 14.986321770516684, ""cafe_main"": 9.744384667934925, ""bar_main"": 1.4173434471310538, ""park_main"": 4.821630033263738, ""mall_main"": 2.4329144048370397}"
40.97695940737451,28.880947116620145,cell_003294,cell_003294,3,9,10,7,0,6,4,66.30778091774214,"{""station_main"": 15.803013970713941, ""school_public"": 19.00425863264272, ""supermarket_main"": 14.464890099791216, ""cafe_main"": 9.03028032135595, ""bar_main"": 0.0, ""park_main"": 4.323323583816936, ""mall_main"": 3.6820143094213664}"
41.04002247043755,28.892904587393428,cell_004422,cell_004422,3,9,11,7,0,12,2,65.79546613700836,"{""station_main"": 15.803013970713941, ""school_public"": 19.00425863264272, ""supermarket_main"": 14.616577001902389, ""cafe_main"": 9.03028032135595, ""bar_main"": 0.0, ""park_main"": 4.908421805556329, ""mall_main"": 2.4329144048370397}"
41.05804048845556,29.00052182435297,cell_004753,cell_004753,4,4,15,11,1,17,1,65.59883425532072,"{""station_main"": 18.41007154710683, ""school_public"": 14.728057237685466, ""supermarket_main"": 14.898930795013719, ""cafe_main"": 9.744384667934925, ""bar_main"": 1.4173434471310538, ""park_main"": 4.982703113317676, ""mall_main"": 1.4173434471310538}"
41.02200445241954,28.976606882806404,cell_004107,cell_004107,6,2,10,90,16,8,0,65.44160863213995,"{""station_main"": 21.616617919084682, ""school_public"": 9.731657619348159, ""supermarket_main"": 14.464890099791216, ""cafe_main"": 9.999999999999064, ""bar_main"": 4.975860250030843, ""park_main"": 4.652582743885993, ""mall_main"": 0.0}"
41.01299544341053,28.940734470486557,cell_003943,cell_003943,2,16,45,98,2,7,1,65.43340644841977,"{""station_main"": 12.164572024185198, ""school_public"": 19.903441000123372, ""supermarket_main"": 14.999995411465193, ""cafe_main"": 9.999999999999934, ""bar_main"": 2.4329144048370397, ""park_main"": 4.515140160677975, ""mall_main"": 1.4173434471310538}"
40.92290535332047,29.144011473632357,cell_002350,cell_002350,3,12,17,5,0,6,2,65.25229249317064,"{""station_main"": 15.803013970713941, ""school_public"": 19.633687222225316, ""supermarket_main"": 14.948109339953028, ""cafe_main"": 8.111243971624383, ""bar_main"": 0.0, ""park_main"": 4.323323583816936, ""mall_main"": 2.4329144048370397}"
40.97695940737451,29.10813906131251,cell_003313,cell_003313,3,7,25,16,1,13,0,65.16341437478758,"{""station_main"": 15.803013970713941, ""school_public"": 18.0605606427119, ""supermarket_main"": 14.99639445785371, ""cafe_main"": 9.951720500061686, ""bar_main"": 1.4173434471310538, ""park_main"": 4.934381356315295, ""mall_main"": 0.0}"
40.9679503983655,29.084224119765945,cell_003150,cell_003150,3,8,38,60,1,6,0,65.15396463843729,"{""station_main"": 15.803013970713941, ""school_public"": 18.61033097554397, ""supermarket_main"": 14.999952681842922, ""cafe_main"": 9.999999979388464, ""bar_main"": 1.4173434471310538, ""park_main"": 4.323323583816936, ""mall_main"": 0.0}"
41.04002247043755,28.8450747043003,cell_004418,cell_004418,3,15,22,12,0,8,0,65.12788050603287,"{""station_main"": 15.803013970713941, ""school_public"": 19.865241060018292, ""supermarket_main"": 14.99019912030199, ""cafe_main"": 9.816843611112658, ""bar_main"": 0.0, ""park_main"": 4.652582743885993, ""mall_main"": 0.0}"
