latitude,longitude,target_id,name,cafe_main_count,hospital_main_count,station_main_count,supermarket_main_count,score_total,score_breakdown
41.03392353873865,28.978663152946087,cell_003559,cell_003559,100,2,2,26,52.02609502746023,"{""cafe_main"": 9.999999999999966, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.99569419360098}"
40.97986948468461,29.07432503935097,cell_002763,cell_002763,15,2,2,35,51.96280699039086,"{""cafe_main"": 9.932620530009146, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999785626522435}"
40.997887502702625,28.847128059139372,cell_003012,cell_003012,4,5,1,10,51.94669706980335,"{""cafe_main"": 7.364028618842733, ""hospital_main"": 16.222487943248765, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.10815016631869}"
40.98887849369362,29.03845183194914,cell_002894,cell_002894,45,3,1,31,51.893625197161796,"{""cafe_main"": 9.999996940976795, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.999186738220686}"
40.97986948468461,29.08628277515158,cell_002764,cell_002764,22,3,1,26,51.88360179176662,"{""cafe_main"": 9.993466080201326, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.99569419360098}"
40.97986948468461,29.06236730355036,cell_002762,cell_002762,14,3,1,26,51.796100086050345,"{""cafe_main"": 9.905964374485048, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.99569419360098}"
41.015905520720636,29.03845183194914,cell_003296,cell_003296,14,3,1,17,51.71392145903775,"{""cafe_main"": 9.905964374485048, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.91351556658838}"
40.98887849369362,29.134113718354023,cell_002902,cell_002902,15,3,1,15,51.65861337299633,"{""cafe_main"": 9.932620530009146, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.831551325022865}"
40.91680642162157,29.134113718354023,cell_001830,cell_001830,14,3,1,14,51.56531682866199,"{""cafe_main"": 9.905964374485048, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.764910936212623}"
41.03392353873865,28.847128059139372,cell_003548,cell_003548,11,1,4,33,51.459383842203486,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 5.669373788524215, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.999582457480244}"
41.00689651171163,29.02649409614853,cell_003161,cell_003161,3,7,1,7,51.20949737578051,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 18.0605606427119, ""station_main"": 4.252030341393161, ""supermarket_main"": 22.57570080338987}"
40.98887849369362,29.06236730355036,cell_002896,cell_002896,8,3,1,16,51.07890825589051,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.879301250154214}"
41.02491452972964,28.859085794939983,cell_003415,cell_003415,7,2,2,19,51.01627856657187,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.955597411356642}"
40.97986948468461,28.871043530740593,cell_002746,cell_002746,8,1,4,16,50.89988345471451,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 5.669373788524215, ""station_main"": 11.0460429282641, ""supermarket_main"": 24.879301250154214}"
40.98887849369362,28.859085794939983,cell_002879,cell_002879,1,6,2,8,50.68963816347093,"{""cafe_main"": 2.8346868942621075, ""hospital_main"": 17.293294335267746, ""station_main"": 7.298743214511119, ""supermarket_main"": 23.262913719429964}"
41.05194155675666,29.002578624547308,cell_003829,cell_003829,32,3,1,9,50.64953171775629,"{""cafe_main"": 9.99976690898857, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 23.7553232908034}"
41.042932547747654,28.83517032333876,cell_003681,cell_003681,6,3,1,24,50.53270211990062,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.991613434302437}"
41.015905520720636,28.966705417145477,cell_003290,cell_003290,82,1,5,7,50.411940549337196,"{""cafe_main"": 9.999999999986533, ""hospital_main"": 5.669373788524215, ""station_main"": 12.166865957436574, ""supermarket_main"": 22.57570080338987}"
41.00689651171163,29.05040956774975,cell_003163,cell_003163,6,3,1,14,50.30599962181081,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.764910936212623}"
40.9618514666666,29.09824051095219,cell_002497,cell_002497,17,1,3,30,50.11545339934387,"{""cafe_main"": 9.965406226635352, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.998865001755938}"
40.997887502702625,28.930832209743645,cell_003019,cell_003019,36,1,3,14,49.91603166504167,"{""cafe_main"": 9.999938557876467, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.764910936212623}"
40.98887849369362,28.847128059139372,cell_002878,cell_002878,4,3,3,5,49.76635810690321,"{""cafe_main"": 7.364028618842733, ""hospital_main"": 12.642411176571153, ""station_main"": 9.481808382428365, ""supermarket_main"": 20.278109929060957}"
41.00689651171163,28.894959002341814,cell_003150,cell_003150,5,2,2,12,49.68375383326531,"{""cafe_main"": 8.111243971624383, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.542109027781645}"
41.03392353873865,28.990620888746697,cell_003560,cell_003560,52,4,0,16,49.60735819120018,"{""cafe_main"": 9.999999703360501, ""hospital_main"": 14.728057237685466, ""station_main"": 0.0, ""supermarket_main"": 24.879301250154214}"
40.92581543063058,29.146071454154633,cell_001965,cell_001965,2,3,2,13,49.47888998233283,"{""cafe_main"": 4.865828809674079, ""hospital_main"": 12.642411176571153, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.671906781576475}"
41.03392353873865,28.83517032333876,cell_003547,cell_003547,8,1,3,27,49.4532624136224,"{""cafe_main"": 9.305165487771985, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.996914754897833}"
41.02491452972964,28.942789945544256,cell_003422,cell_003422,63,2,1,24,48.9753013874612,"{""cafe_main"": 9.99999999241744, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.991613434302437}"
40.97986948468461,29.05040956774975,cell_002761,cell_002761,29,2,1,20,48.95123850864708,"{""cafe_main"": 9.999366392939255, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.968184154966508}"
41.02491452972964,28.847128059139372,cell_003414,cell_003414,6,1,3,23,48.786124943295135,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.988295604708682}"
40.9618514666666,29.265648812160737,cell_002511,cell_002511,10,4,0,11,48.73227897405026,"{""cafe_main"": 9.643260066527477, ""hospital_main"": 14.728057237685466, ""station_main"": 0.0, ""supermarket_main"": 24.360961669837312}"
40.997887502702625,28.83517032333876,cell_003011,cell_003011,2,4,2,6,48.50924718095535,"{""cafe_main"": 4.865828809674079, ""hospital_main"": 14.728057237685466, ""station_main"": 7.298743214511119, ""supermarket_main"": 21.616617919084682}"
40.92581543063058,29.122155982553412,cell_001963,cell_001963,19,2,1,12,48.50803595306562,"{""cafe_main"": 9.982238964542656, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.542109027781645}"
41.00689651171163,29.217817868958296,cell_003177,cell_003177,11,2,1,13,48.399979410252726,"{""cafe_main"": 9.744384667934925, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.671906781576475}"
41.042932547747654,28.894959002341814,cell_003686,cell_003686,6,1,3,12,48.3399383663681,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.542109027781645}"
40.934824439639584,29.146071454154633,cell_002099,cell_002099,3,2,2,19,48.3072038335015,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 9.731657619348159, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.955597411356642}"
40.91680642162157,29.28956428376196,cell_001843,cell_001843,3,3,1,20,48.1838312612164,"{""cafe_main"": 6.321205588285577, ""hospital_main"": 12.642411176571153, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.968184154966508}"
41.07896858378368,28.978663152946087,cell_004229,cell_004229,6,1,3,11,48.15879100842376,"{""cafe_main"": 8.646647167633873, ""hospital_main"": 5.669373788524215, ""station_main"": 9.481808382428365, ""supermarket_main"": 24.360961669837312}"
41.03392353873865,28.82321258753815,cell_003546,cell_003546,7,2,1,21,47.99117123295841,"{""cafe_main"": 9.03028032135595, ""hospital_main"": 9.731657619348159, ""station_main"": 4.252030341393161, ""supermarket_main"": 24.97720295086114}"
40.98887849369362,29.02649409614853,cell_002893,cell_002893,106,1,2,32,47.96753427550676,"{""cafe_main"": 9.999999999999996, ""hospital_main"": 5.669373788524215, ""station_main"": 7.298743214511119, ""supermarket_main"": 24.999417272471426}"
