name,amenity,shop,longitude,latitude,market_type
Çağrı Market,,supermarket,29.1317065,41.017071,local
Demkarlar Market,,supermarket,29.1307032,41.0167332,local
Ateş Market,,supermarket,29.4392963,41.1935455,local
Çağrı Market,,supermarket,29.1810388,40.9035131,local
Hider Gıda,,supermarket,29.1739826,41.0327714,local
süper market,,supermarket,29.2149524,41.0097638,local
Arzum Gıda,,supermarket,29.2220092,41.0100653,local
Biçen,,supermarket,28.5378587,41.006979,local
Happy Center,,supermarket,28.535773,41.00974,unknown
Biçen,,supermarket,28.5361746,41.0084657,local
Fatih Super Market,,supermarket,28.5331047,41.0037169,local
Aslanlar Grup Ekonomik Halk Pazarı,,supermarket,28.5331181,41.0041157,local
Metmar,,supermarket,28.5332952,41.00431,local
Erarslan Market,,supermarket,29.0417331,41.0195365,local
Gimtaş,,supermarket,29.0822897,40.9590562,local
Mopaş,,supermarket,29.214998,41.0085893,local
Ton Market,,supermarket,29.1544875,40.9398591,local
Rota,,supermarket,28.8652056,41.0933256,local
Kaya Çiftliği,,supermarket,29.1168691,40.9786765,local
özdilek hipermarket,,supermarket,29.0099873,41.0772385,local
Beykoz Market,,supermarket,29.0886152,41.0947828,local
Demir Market,,supermarket,29.0098748,41.045294,local
Show,,supermarket,28.873217,41.0016402,local
Happy Center,,supermarket,28.6716579,40.9819838,unknown
Onur Market,,supermarket,28.5402165,40.9956413,chain
Namlı,,supermarket,28.9664418,41.0322881,local
Kim,,supermarket,28.9672882,41.0342302,local
Türkiye Tarım Kredi Kooperatif Market,,supermarket,29.2397541,41.0511778,local
Ergünler Market,,supermarket,28.0993205,41.3202656,local
Avantaj,,supermarket,28.2621121,41.0920283,local
Karakuş Gıda,,supermarket,28.2058423,41.374651,local
Çağrı Hipermarket,,supermarket,29.1203946,41.011408,local
Çağrı Hipermarket,,supermarket,29.0813006,41.0191615,local
efe,,supermarket,28.8361406,41.0414396,local
Şeymar Market,,supermarket,28.927181,40.9961259,local
Hakmar Express,,supermarket,29.1158919,40.9816853,chain
Uyum,,supermarket,28.7862902,41.0556834,local
MJet,,supermarket,29.0549191,41.0139726,local
Kim,,supermarket,28.8724505,40.9875821,local
Biçen,,supermarket,28.8721759,40.9848888,local
Bicen,,supermarket,28.7997047,41.0015561,local
Happy Center,,supermarket,28.7847386,41.0503779,unknown
