name,leisure,longitude,latitude
Sadabat Mesire 2,park,28.957003636719023,41.0674740278924
Sancaktepe Meydan Parkı,park,29.229317359646508,40.9925126784476
Aşık Veysel Parkı,park,28.890436935535256,41.09893481110677
QUAD,park,29.258714943416454,41.03124223282848
Dormitory Park,park,29.26125353532732,41.03281882923158
Levent Kırca Parkı,park,28.85313692771405,41.01471158028299
içerenköy parkı,park,29.115046000787988,40.97065077112964
Bilal Habeşi Parkı,park,28.816690646428636,41.03523704958026
GoPark,park,28.915532274861675,41.05699459068746
Dut Ağacı Parkı,park,29.11287618567644,40.97074528510784
Topkapı Şehir Parkı,park,28.921112966375976,41.019185219087056
Şehit Yusuf Yengin Parkı,park,28.90553018408693,41.09601715466175
Sedat Balkanlı Spor Parkı,park,28.906849168586756,41.07586963080046
Cebeci Parkı,park,28.8755139383976,41.103789014706834
Prof. Dr Sabahattin Zaim Parkı,park,28.872408095956988,41.10226551468579
Rahmi Gökcan Parkı,park,29.07261997412808,41.05773317274
Kartal Sahil Parkı,park,29.19697806653014,40.88447107103373
Çatalca Millet Bahçesi,park,28.463516472544423,41.14488116659823
Fetih Parkı,park,28.92536816054932,41.08430349611409
Seyfi Ali Yıldız Parkı,park,29.07495569861429,41.05799332335189
Merter Sağlıklı Yaşam Parkı,park,28.883909459601227,41.00333956943362
Meskenler Parkı,park,29.118022266598835,40.97768852189871
Dalyan Parkı,park,29.056203408374557,40.96580533904601
Fenerbahçe Parkı,park,29.034436658059235,40.96787914068735
Caddebostan Sahil Parkı,park,29.08097492737469,40.95462906077792
Gül Bahçesi,park,29.055912259810604,40.96838902258309
Maltepe Fıskiye,park,29.106209185729508,40.944907564997735
Millî Hakimiyet Parkı,park,29.0800517099277,40.97923008479139
Gümrük Parkı,park,29.014864798231496,41.00495031251237
Manolya Parkı,park,29.03496708158853,41.006082780946514
Şair Nedim Parkı,park,28.95418274124738,41.029340099016224
Tozkoparan Barış Parkı,park,28.89431113101516,41.01435441648992
Minik Dostlar Parkı / Kaşif Kalkavan Parkı,park,29.140425999264963,41.001456216147446
Yavuz Sultan Selim Parkı,park,29.13994242939468,41.000835081014976
Ertruğrul Adası,park,29.115334850601325,40.99700116895062
Merkez Adası,park,29.11840981790352,40.99671906359527
Mesire Adası,park,29.12072295123336,40.996235131410685
İstanbul Adası,park,29.113435111355145,40.99727837353505
Ümraniye Osmangazi Millet Bahçesi,park,29.161084226599208,41.01147173126771
Ataşehir Parkı,park,29.13709411617384,40.99112555065064
Özgürlük Parkı,park,29.12589332430993,40.99046339238932
Huzur Hoca Parkı,park,29.112958467412728,40.967671473908354
Orta Bahçe,park,29.019337764603577,41.10473608286079
Sanatkarlar Parkı,park,28.982852734440623,41.02834951844882
Pir Sultan Parkı,park,29.117377744209293,40.96822821152978
