name,amenity,shop,leisure,longitude,latitude
Paksu Merter Yeraltı Otoparkı,parking,,,28.88407826507752,41.01238135792455
İspark Merter Katlı Otopark,parking,,,28.88988697695276,41.00980099062945
İspark Küçük Çamlıca,parking,,,29.066444985593453,41.02023541097294
Çizgi Rent A Car,parking,,,29.3094303122583,40.91664781704271
Avek Otomotiv,parking,,,29.10627619794588,41.0271902230116
Bayrampaşa Belediyesi Katlı Otoparkı,parking,,,28.91158207085309,41.03959729879858
Hasan Doğan Spor Kompleksi,parking,,,28.847921876234054,41.0183310020272
İspark Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otoparkı,parking,,,29.111367890417377,41.03226245754981
İSPARK,parking,,,29.10257341527092,41.03166142830949
Maltepe Belediyesi,parking,,,29.153450233643404,40.93269372150351
Sancaktepe Devlet Hastanesi Otoparkı,parking,,,29.19432367881111,41.00572500391971
Bacar Samandıra,parking,,,29.197855350675987,40.978950791794375
otopark,parking,,,28.93074827749404,41.00766994448188
Maltepe-Küçükyalı Minibüs Durağı,parking,,,29.122057133446837,40.96755184869343
Bahariye Metro İstasyonu Arazisi,parking,,,28.799272005838223,41.05856323712063
Fuar Alanı Otoparkı,parking,,,28.757812183257396,41.10426454804983
İSPARK,parking,,,28.801092445384995,41.10675876251498
Gazi Tır Parkı,parking,,,29.182964944904967,40.98117733861289
İETT Esentepe Garajı,parking,,,29.00678773846176,41.08362498073614
İSPARK,parking,,,28.692624249124588,41.06631786310814
İSPARK Beyoğlu Balıkçılar Önü,parking,,,28.97400952116755,41.02201098973329
İSPARK,parking,,,29.007912092910363,41.086998097392616
Belediye Yeraltı Otoparkı,parking,,,29.228044769030102,40.99428271259544
Sultanbeyli Katlı Otoparkı,parking,,,29.26636578461667,40.96602073224443
İSPARK,parking,,,28.94454028986938,41.08803617423243
Otopark Meydanı,parking,,,29.32165138801157,40.82752476162207
Piri Reis Üniversitesi Otoparkı,parking,,,29.323118872770237,40.82697183871137
İETT Yenimahalle Metro Otobüs Peronları,parking,,,28.83601671104409,41.04031225653526
İETT Kuyumcukent Peronları,parking,,,28.81464691974381,41.00459533869946
İspark,parking,,,29.06576544049261,41.078766717055
İSPARK,parking,,,29.009221547273725,41.08521503570892
İSPARK,parking,,,29.03781890289472,40.994765274089104
Güven Otoparkı,parking,,,28.91950233588989,41.05249421428161
İSPARK,parking,,,29.03964515559143,41.024627866598685
P1 Öğrenci/Misafir Otoparkı,parking,,,29.025818575204443,41.10167404295737
Nezahat Gökyiğit Botanik Bahçesi Ümraniye Girişi,parking,,,29.120336881823693,40.99862532614933
İSPARK Süleymaniye Camii Altı Açık Otoparkı,parking,,,28.96081745887509,41.01601036098514
Otopark Meydanı,parking,,,29.319398922222604,40.82730146633688
Otopark Meydanı,parking,,,29.319471875437543,40.8264176793339
İSPARK,parking,,,29.171214710688485,40.89877940423634
Gönder,parking,,,29.038034922884364,41.02422864677158
İspark,parking,,,29.190938938844663,40.89198219995717
ESBAŞ Rami Otoparkı,parking,,,28.916856332494916,41.05134324712869
Kılıç,parking,,,29.02751754212461,40.98827628473413
İstanbul Havalimanı Cami Otoparkı,parking,,,28.745905548851205,41.25225132450465
İstanbul Çocukları Vakfı Otoparkı,parking,,,29.02753298850117,41.07597494441582
TIR Bekleme Yeri,parking,,,28.511046091343733,41.07574965453946
Karadeniz Açık Otoparkı,parking,,,28.8770546853192,41.08191229404808
Tekin 2 Otopark,parking,,,28.9087043190166,41.05801628054772
Merkez Otopark,parking,,,28.90863464659733,41.05791926100312
Kayıkçıoğlu TIR Parkı,parking,,,28.503463984218985,41.07881278824304
Muratbey TIR Parkı,parking,,,28.50145633822555,41.08797423890896
Can TIR Parkı,parking,,,28.495647903015534,41.12052373040216
Baba Nayim Otoparkı,parking,,,28.91248311997161,41.05868058231332
Pierreloti Otopark,parking,,,28.93279116882275,41.05471694552142
İspark Tuzla İDO,parking,,,29.30378581937564,40.81486147268183
Koton Misafir ve Tedarikçi Otoparkı,parking,,,28.99813567139807,41.11205297628158
Dereboyu Belediye Otoparkı,parking,,,28.99758510356747,41.11726114909534
Dudullu Mninbüs Peronları,parking,,,29.161049155801575,41.01540143331121
Migros otopark,parking,,,29.307334542937472,40.92811865841598
Hotel Suadiye Otoparkı,parking,,,29.081185953019272,40.95667250936801
Deniz Otopark,parking,,,28.668537265114114,41.02774773645428
