name,amenity,shop,longitude,latitude,market_type
Migros,,supermarket,29.0122185,41.0865954,chain
Diasa Gümüşpala,,supermarket,28.7409045,40.9797534,local
Migros,,supermarket,29.3263697,40.937368,chain
MMM Migros,,supermarket,29.0729211,40.9999334,chain
BİM,,supermarket,28.9821672,41.0500543,local
CarrefourSA,,supermarket,29.1381249,40.9167457,chain
Maltepe Carrefour,,supermarket,29.1636925,40.9194303,chain
Çağrı,,supermarket,29.1436548,40.9178499,local
Şok,,supermarket,29.2594361,41.0317684,chain
Üçler Süpermarket,,supermarket,29.0704788,41.122356,local
BİM,,supermarket,29.0603752,41.0380506,local
Migros,,supermarket,28.9845917,41.0313616,chain
Migros,,supermarket,28.8502139,40.9789289,chain
Dia Market,,supermarket,28.9945107,41.0593058,local
Harman Market,,supermarket,29.0526124,41.0274269,local
Happy Center,,supermarket,29.0396261,41.0930573,unknown
Grosper,,supermarket,29.1064064,40.9479813,local
Çağrı Market Küçükyalı,,supermarket,29.1078524,40.9471669,local
Şok,,supermarket,28.7797371,40.9958087,chain
happycenter,,supermarket,28.653792,41.0056012,unknown
Şok,,supermarket,29.062466,40.9801867,chain
BİM,,supermarket,28.8010218,41.0101076,local
CarrefourSA,,supermarket,29.0892867,41.0949127,chain
Hakmar,,supermarket,29.2584614,40.8923104,chain
BİM,,supermarket,29.2577171,40.8929704,local
Kiler,,supermarket,28.8717012,41.008003,local
Kiler Hipermarket,,supermarket,29.0757331,41.0461645,local
MM Migros Market,,supermarket,29.077057,41.0498017,chain
Carrefoursa Express,,supermarket,28.6255512,41.0085028,chain
Migros,,supermarket,28.6266185,41.0051669,chain
Onur Market,,supermarket,28.6254654,41.0040211,chain
Alp Gıda,,supermarket,28.9708951,41.0671686,local
Dia Market,,supermarket,29.0451366,41.0439356,local
CarrefourSA,,supermarket,29.0171271,41.0731017,chain
Migros,,supermarket,29.0183984,41.0724202,chain
BİM,,supermarket,28.9501782,41.0122736,local
Migros,,supermarket,28.9447629,41.0145742,chain
Migros,,supermarket,29.1122315,40.9447797,chain
Migros,,supermarket,29.085746,40.988651,chain
Migros,,supermarket,29.0245606,40.9904631,chain
A101,,supermarket,29.1870471,41.0210309,chain
Migros,,supermarket,29.1844674,41.0227189,chain
Happy Center,,supermarket,29.1904379,41.0213102,unknown
Limon Market,,supermarket,29.1813521,41.0259585,local
Sarıyer Market,,supermarket,29.1127254,40.9451306,local
Ocakmar,,supermarket,29.1925896,41.0214808,local
CarrefourSA,,supermarket,29.1877238,41.0248642,chain
Köylüce Market,,supermarket,29.1728155,41.0307402,local
Çağrı Market,,supermarket,29.1922257,41.018423,local
Özkuruşlar Hipermarket,,supermarket,29.1907821,41.0158895,local
Uyum Süpermarketi,,supermarket,28.6488103,41.0188936,local
Şok,,supermarket,28.6509025,41.0188733,chain
Happy Center,,supermarket,28.6550333,41.0160318,unknown
Onur Hipermarket İnnovia,,supermarket,28.6567872,41.0208889,local
A101,,supermarket,28.6244191,40.9991219,chain
Migros,,supermarket,28.6213272,41.005583,chain
Carrefour,,supermarket,28.6586017,41.0107551,chain
5M MİGROS TORIUM,,supermarket,28.6875718,41.0035322,local
Migros,,supermarket,28.6480387,41.0159314,chain
Migros,,supermarket,28.6544017,41.0117978,chain
BİM,,supermarket,28.9988521,41.0722779,local
KİM Market,,supermarket,28.999874,41.0691639,local
Şok,,supermarket,28.9988789,41.0720636,chain
Şok,,supermarket,28.999074,41.0429267,chain
MMM Migros,,supermarket,29.1802128,41.0114204,chain
Şok,,supermarket,28.8701692,40.9950292,chain
HappyCenter,,supermarket,28.6997985,41.0643994,unknown
Migros,,supermarket,29.0732566,41.2050206,chain
BİM,,supermarket,28.9070028,41.0987593,local
Şok,,supermarket,28.9088488,41.0983678,chain
Çağrı,,supermarket,29.1114337,40.9702893,local
Emin Market,,supermarket,29.0712631,41.0580189,local
Çağmar,,supermarket,29.2584496,40.8908275,local
Karmar Süpermarket,,supermarket,29.0720085,40.9836654,local
ÖzVariş,,supermarket,29.0275247,40.9846181,local
Şok,,supermarket,29.0313099,40.9873158,chain
MM Migros,,supermarket,29.0353706,40.9874904,chain
Migros,,supermarket,29.0230787,40.9897933,chain
Şok,,supermarket,29.0267043,40.9891937,chain
Şok,,supermarket,29.0258335,40.983703,chain
BİM,,supermarket,29.0321198,40.9904838,local
Migros,,supermarket,29.0660589,40.9784042,chain
Şok,,supermarket,29.06616,40.9698435,chain
Migros,,supermarket,29.0742087,40.9729642,chain
A101,,supermarket,29.0249871,40.9881886,chain
BİM,,supermarket,29.0245422,40.9873576,local
Özkuruşlar,,supermarket,29.1394344,40.997692,local
Ideal,,supermarket,29.1319333,41.0047637,local
CarrefourSA,,supermarket,29.103901,40.9969631,chain
Şok,,supermarket,29.1310934,41.004316,chain
Migros,,supermarket,29.1267676,41.0264815,chain
Migros,,supermarket,29.1070526,40.9953843,chain
UCZ Süpermarket,,supermarket,28.7376339,40.9800511,local
Migros,,supermarket,28.6524369,41.0162608,chain
Tower Shopping Süpermarket,,supermarket,28.6534886,41.0200615,unknown
Şok,,supermarket,28.6516815,41.0196566,chain
Sinem Market&Şarküteri,,supermarket,28.6539412,41.0194348,local
Macrocenter,,supermarket,29.0229205,41.2088683,unknown
Happy Center,,supermarket,28.8095819,41.1083664,unknown
Şok,,supermarket,29.1672531,40.9016739,chain
Migros,,supermarket,29.1003672,40.9532806,chain
Şok,,supermarket,29.1014256,40.9518949,chain
İpek Şarküteri,,supermarket,28.6573194,40.9786733,local
Migros,,supermarket,29.0371774,41.001037,chain
Ücler,,supermarket,28.9914701,41.0523202,local
Bizim Toptan market,,supermarket,29.1243668,40.9483333,local
A101,,supermarket,28.6883388,41.3397472,chain
Gönüller Diyarı Sivas Ürünleri,,supermarket,28.6568684,41.0041747,local
BİM,,supermarket,29.123422,40.9452951,local
Karmar Süpermarket,,supermarket,29.1227291,40.9445729,local
Şanlık Süpermarket,,supermarket,29.0551035,40.9736622,local
Derya Market,,supermarket,29.0556473,40.9715165,local
CarrefourSA Süper,,supermarket,28.8589344,40.9988252,chain
Erbaklar Süpermarket,,supermarket,28.8705697,41.0174555,local
Kılıç Market,,supermarket,28.8717471,41.0163707,local
Migros,,supermarket,29.014399,41.095039,chain
Dia Market,,supermarket,28.9934244,41.0562302,local
Migros,,supermarket,28.8663007,41.0009235,chain
BİM,,supermarket,28.8614451,41.0282994,local
Migros,,supermarket,28.9932247,41.0537913,chain
Şok,,supermarket,28.9748175,41.0259319,chain
