name,amenity,shop,leisure,longitude,latitude,pool_norm,exact_hit,fuzzy_match,fuzzy_score,fuzzy_hit,is_avm
Huzur,,mall,,29.2706895,40.9789909,huzur,False,beylikduzu migros,36.36363636363637,False,False
Hakmar,,mall,,29.2785859,40.9843851,hakmar,False,kadir has,66.66666666666666,False,False
İnci toyz,,mall,,29.2593092,40.9675774,inci toyz,False,capacity,47.05882352941177,False,False
Alhas Gıda,,mall,,29.259553,40.9674802,alhas g da,False,kadir has,52.63157894736842,False,False
Hakmar,,mall,,29.2604113,40.9672695,hakmar,False,kadir has,66.66666666666666,False,False
Hakmar,,mall,,29.2567635,40.9589653,hakmar,False,kadir has,66.66666666666666,False,False
Pirilti,,mall,,29.2473056,40.9692986,pirilti,False,profilo,57.142857142857146,False,False
Bayza,,mall,,29.2535877,40.9675045,bayza,False,bauhaus,50.0,False,False
Yılmaz kardeşler,,mall,,29.2764616,40.9857619,y lmaz kardesler,False,mayadrom akatlar,50.0,False,False
Bozkurt,,mall,,29.25335,40.9674089,bozkurt,False,airport,42.857142857142854,False,False
Plato alışveriş merkezi,,mall,,29.2609936,40.9690227,plato al sveris,False,kanyon al sveris,77.41935483870968,False,False
Hakmar,,mall,,29.2662243,40.9765079,hakmar,False,kadir has,66.66666666666666,False,False
Kardeşler Ticaret,,mall,,29.2588019,40.9676908,kardesler ticaret,False,deposite outlet,50.0,False,False
Hakmar,,mall,,29.2657757,40.9785049,hakmar,False,kadir has,66.66666666666666,False,False
AK Çarşı,,mall,,29.2656469,40.978189,ak cars,False,sapphire cars,72.72727272727272,False,False
herşy beş,,mall,,29.2537444,40.9681312,hersy bes,False,veneris,50.0,False,False
Hakmar,,mall,,29.2717838,40.9762045,hakmar,False,kadir has,66.66666666666666,False,False
Hakmar,,mall,,29.2638445,40.9668645,hakmar,False,kadir has,66.66666666666666,False,False
İstinye park,,mall,,29.2561626,40.9630244,istinye park,False,green park,57.142857142857146,False,False
