name,amenity,shop,longitude,latitude
Nergiz Market,cafe,,28.9300376,40.9980384
Kebab ve Pide Dünyası,cafe,,28.9312148,40.9996878
Sinekli Bakkal Çay Bahçesi,cafe,,28.9473588,41.0082625
Barısta Cafe,cafe,,28.9353476,41.0139927
Can Restaurant ve Cafe,cafe,,28.977935,41.0139195
Hotel Yasmak,cafe,,28.9777047,41.0125418
pide cafe bestro,cafe,,28.9611351,41.0135413
Hotel balin,cafe,,28.9647604,41.0088638
Sekiz kardşler patisseie cafe restaurant,cafe,,28.9529076,41.0083096
Joy Cafe Restaurant & Shisha Lounge,cafe,,28.9792661,41.0036146
En la luna terace cafe & bar,cafe,,28.9792031,41.0059494
Atabarı,cafe,,28.9328959,41.00225
Rumeli Cafe & Restaurant,cafe,,28.9492642,41.0176842
Martı Cafe Restaurant,cafe,,29.1744482,40.8916344
Kuşhane Restaurant Cafe,cafe,,29.1808219,40.9115651
Saklı koru cafe restaurant,cafe,,29.263153,40.9636893
Çibar cafe Restaurant sultanbeyli,cafe,,29.2635607,40.9625227
Baraka cafe,cafe,,29.2634749,40.9652286
Miss döner pida börek,cafe,,29.2661142,40.9644914
Ziyaffet Ocakbasi,cafe,,28.90544,40.9939004
Gravite Coffee Bar,cafe,,28.99506,41.0527745
Selçuk Pide,cafe,,29.265644,40.979682
Ali Baba Kanaat Lokantası,cafe,,28.9634641,41.0152465
Şahin Lokantası,cafe,,28.9746957,41.0306586
Sembol pide ve börek,cafe,,28.9096978,41.0096152
cafe barış,cafe,,28.8945207,40.9859171
Erciyes pide börek,cafe,,28.8409371,41.0271178
Aafran pide börek cafe,cafe,,28.8613397,41.0335498
Balibey Doner,cafe,,29.0102239,41.0787824
Rafine Espresso Bar,cafe,,29.0257598,40.9864565
Moma's Cafe Restaurant,cafe,,28.9760039,41.0158124
Bakkal,cafe,,28.9735852,41.0275596
Tünel Cafe & Restaurant,cafe,,28.9736107,41.0279656
Şahane Cafe & Restaurant,cafe,,29.0205607,41.0031478
Kamelya Kafe Restorant,cafe,,29.2240067,40.9192102
Coffee Craft Şaşkınbakkal,cafe,,29.076623,40.9639876
Sunday Coffee Bar,cafe,,28.9947939,41.0494849
Konak Kebap Salonu,cafe,,28.9746584,41.0285595
Kasap Döner,cafe,,28.975728,41.0303883
Midnight Lounge,cafe,,29.0361628,41.0239473
Bamboo Cafe & Restaurant,cafe,,29.2592877,41.1290915
Kasap Döner,cafe,,28.9745624,41.0082533
Baruthane Pilavcısı,cafe,,28.9827845,41.0513123
Gaziantep kozde kunafe kebap salonu,cafe,,28.9729171,41.0154803
My Börek & Pide Salonu,cafe,,29.284011,40.9146561
bahçem kafe restaurant,cafe,,29.118423,41.0101231
Çiftlik Doner,cafe,,29.004318,41.0437263
Kadi lokantasi 2,cafe,,29.028724,40.9909904
Pide lahmacun,cafe,,28.9669409,41.0322987
Kiper Cafe & Restaurant,cafe,,28.5896891,41.0178723
Mutluluk Şehri Kafe & Restoran,cafe,,28.5876453,41.0176691
Hisar Cafe&Restaurant,cafe,,29.056686,41.0859577
Nyn Cafe Restaurant,cafe,,29.0344397,40.9922224
Olio Cafe & Restaurant,cafe,,29.0814877,40.9739993
Sultan Cafe & Restaurant,cafe,,29.1035003,40.9508106
Gaziantep Kehribar Baklavaları,cafe,,29.0797187,40.9755854
Tekin Kebap Dürüm Evi,cafe,,28.9737037,41.0351064
Meshur Dönerci,cafe,,28.9660771,41.0127218
Lezizane Lokantasi,cafe,,28.9790319,41.0337281
Coffee Club,cafe,,29.0523263,40.9845602
La Casa Közde Döner,cafe,,29.0655482,40.9825273
Mikado Cafe & Restaurant,cafe,,28.9990469,41.1154008
Lezizâne Lokantası,cafe,,28.9792287,41.0336856
Gardenia Bistro Restaurant,cafe,,28.9713618,41.0031653
Fes Cafe & Restaurant,cafe,,28.243211,41.071639
Âlâ Cafe & Restaurant,cafe,,28.2441105,41.0723593
Hatrı View Cafe ve Restoran,cafe,,29.0294114,40.9948531
Baraka cafe,cafe,,29.0223798,40.9888485
Çanta bar restaurant bred,cafe,,28.0961629,41.063211
BlackDem Kafe ve Restorant,cafe,,28.863845,41.1011394
Neşve Cafe ve Restaurant,cafe,,28.8640856,41.0937604
Değirmenköy Börek Pide & Cafe,cafe,,28.5780243,41.0209137
HD İskamder Pidem,cafe,,29.3168214,40.9079753
Turkish kitchen & bar,cafe,,29.3159837,40.9072667
Elmalar Cafe & Restaurant,cafe,,28.9727102,41.0158879
Espresso Bar,cafe,,29.0764272,40.9628155
Filika Cafe & Restaurant,cafe,,28.93851,41.0803449
Barros,cafe,,29.0263488,40.9877187
Kuş sütü Cafe Restaurant,cafe,,28.6858797,41.004332
Republic coffee,cafe,,28.9811438,41.0563046
Coffeepublic,cafe,,28.9986409,41.0427804
Kairos Coffee and Bar,cafe,,29.1421124,40.9901302
Whats'Up Cafe & Restoran,cafe,,29.1298142,40.9249726
BİA Cafe & Restoran,cafe,,29.1297107,40.9243205
Baca Bread Club,cafe,,29.0847957,40.9729242
Local Kafe Restoran,cafe,,28.6342854,41.0075096
Defne Restoran,cafe,,28.6342478,41.0077282
Anfield Cafe & Pub,cafe,,28.9847506,41.0399648
Ohayo Matcha Bar,cafe,,29.0229185,40.9811622
Sina - Cafe ve Doğal Ürünler Restaurant,cafe,,29.2573029,40.9698371
