name,amenity,longitude,latitude,health_type,name_norm
Pendik Devlet Hastanesi,hospital,29.22950566312276,40.877118746936624,hospital,pendik devlet hastanesi
Sante Plus Hastanesi,hospital,28.89434721457115,40.9984176764338,hospital,sante plus hastanesi
Kaynarca Devlet Hastanesi,hospital,29.253249799999995,40.87345345,hospital,kaynarca devlet hastanesi
Özel Pendik Bölge Hastanesi,hospital,29.24570773534805,40.88275938369296,hospital,ozel pendik bolge hastanesi
Bahat Özel Hastanesi,hospital,28.86032313190628,41.10611863520606,hospital,bahat ozel hastanesi
Yedikule Göğüs Hastalıkları ve Göğüs Cerrahisi Eğitim ve Araştırma Hastanesi,hospital,28.91565829386362,41.002149155149134,hospital,yedikule gogus hastalıkları ve gogus cerrahisi egitim ve arastırma hastanesi
İstanbul Gaziosmanpaşa Eğitim ve Araştırma Hastanesi,hospital,28.898122547080057,41.08651144262779,hospital,istanbul gaziosmanpasa egitim ve arastırma hastanesi
Sancaktepe Şehit Prof.Dr. İlhan Varank Eğitim Ve Araştırma Hastanesi,hospital,29.196666886893887,41.00553750822794,hospital,sancaktepe sehit prof.dr. ilhan varank egitim ve arastırma hastanesi
Haseki Eğitim Ve Araştırma Hastanesi,hospital,28.8992987554175,41.00975609877334,hospital,haseki egitim ve arastırma hastanesi
Özel Safa Hastanesi,hospital,28.85720355,41.02272305,hospital,ozel safa hastanesi
Gaziosmanpaşa Fizik Tedavi Rehabilitasyon Eğitim ve Araştırma Hastanesi,hospital,28.90830602598715,41.08909665188769,hospital,gaziosmanpasa fizik tedavi rehabilitasyon egitim ve arastırma hastanesi
İstanbul Beykoz (Paşabahçe) Devlet Hastanesi,hospital,29.098218973714367,41.11760850188885,hospital,istanbul beykoz (pasabahce) devlet hastanesi
İstinye Devlet Hastanesi,hospital,29.055741709668503,41.115157947867125,hospital,istinye devlet hastanesi
İstinye Devlet Hastanesi,hospital,29.055410481188773,41.114999210031705,hospital,istinye devlet hastanesi
Okan Üniversitesi Hastanesi,hospital,29.301873437452,40.84934627094012,hospital,okan universitesi hastanesi
Özel Gisbir Hastanesi,hospital,29.294316764846503,40.84764983447216,hospital,ozel gisbir hastanesi
Büyükçekmece Mimar Sinan Devlet Hastanesi,hospital,28.555548233241,41.01700259250648,hospital,buyukcekmece mimar sinan devlet hastanesi
Şişli Florence Nightingale Hastanesi,hospital,28.98369547942392,41.06926657246607,hospital,sisli florence nightingale hastanesi
Lokman Hekim Hastanesi,hospital,29.29104132635345,40.92544430850709,hospital,lokman hekim hastanesi
Marmara Üniversitesi Prof. Dr. Asaf Ataseven Hastanesi,hospital,29.138242943398563,40.950602905516135,hospital,marmara universitesi prof. dr. asaf ataseven hastanesi
Özel Pendik Yüzyıl Hastanesi,hospital,29.261439367303183,40.8793764537467,hospital,ozel pendik yuzyıl hastanesi
Kurtköy Ersoy Hastanesi,hospital,29.29805145283872,40.91061348636765,hospital,kurtkoy ersoy hastanesi
Yeditepe Üniversitesi İhtisas Hastanesi,hospital,29.031275865030576,41.004111566715935,hospital,yeditepe universitesi ihtisas hastanesi
Medicana Ataşehir Hastanesi,hospital,29.106932833005395,40.98354219589727,hospital,medicana atasehir hastanesi
Maltepe Altayçeşme Devlet Hastanesi,hospital,29.13498798455356,40.93687648410676,hospital,maltepe altaycesme devlet hastanesi
Ersoy Hastanesi,hospital,29.13472344970216,40.933171115376325,hospital,ersoy hastanesi
Mehmet Toprak Hastanesi,hospital,29.14563292569449,40.91719825936444,hospital,mehmet toprak hastanesi
İstanbul Onkoloji Hastanesi,hospital,29.15369308274049,40.92244194973562,hospital,istanbul onkoloji hastanesi
Acıbadem Ataşehir Hastanesi,hospital,29.12701583396169,40.99448092498864,hospital,acıbadem atasehir hastanesi
Acıbadem Bahçeşehir Hastanesi,hospital,28.68838917848516,41.06266830349113,hospital,acıbadem bahcesehir hastanesi
Medicana Çamlıca Hastanesi,hospital,29.08346611640012,41.02469637962124,hospital,medicana camlıca hastanesi
Özel İlke Hastanesi,hospital,28.83486023746416,40.99763020100264,hospital,ozel ilke hastanesi
Ataköy Hastanesi,hospital,28.840688540046948,40.99256163665613,hospital,atakoy hastanesi
Taksim Eğitim ve Araştırma Hastanesi,hospital,28.98314479933851,41.033100297584525,hospital,taksim egitim ve arastırma hastanesi
