name,amenity,shop,leisure,longitude,latitude,_name_raw,_name_norm,_access,_parking_tag,_amenity
İspark Kadıköy Metro 2 Açık Otoparkı,parking,,,29.02094854154588,40.98902261814237,İspark Kadıköy Metro 2 Açık Otoparkı,ispark kad koy metro 2 ac k otopark,,,parking
Hal Otoparkı,parking,,,28.60313322940708,40.96704955857496,Hal Otoparkı,hal otopark,,,parking
İspark Minibüs Depolama Alanı,parking,,,29.325365501598355,40.93221105316616,İspark Minibüs Depolama Alanı,ispark minibus depolama alan,,,parking
İSPARK,parking,,,29.32088642332096,40.929400044796985,İSPARK,ispark,,,parking
Kuşdili Otoparkı,parking,,,29.032641055298114,40.98977481630798,Kuşdili Otoparkı,kusdili otopark,,,parking
İSPARK,parking,,,29.06989594520961,41.02633623966548,İSPARK,ispark,,,parking
Paksu Merter Yeraltı Otoparkı,parking,,,28.88407826507752,41.01238135792455,Paksu Merter Yeraltı Otoparkı,paksu merter yeralt otopark,,,parking
İspark Merter Katlı Otopark,parking,,,28.88988697695276,41.00980099062945,İspark Merter Katlı Otopark,ispark merter katl otopark,,,parking
İspark Küçük Çamlıca,parking,,,29.066444985593453,41.02023541097294,İspark Küçük Çamlıca,ispark kucuk caml ca,,,parking
Bayrampaşa Belediyesi Katlı Otoparkı,parking,,,28.91158207085309,41.03959729879858,Bayrampaşa Belediyesi Katlı Otoparkı,bayrampasa belediyesi katl otopark,,,parking
İspark Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otoparkı,parking,,,29.111367890417377,41.03226245754981,İspark Ümraniye Dr.Adnan Büyükdeniz Caddesi Açık Otoparkı,ispark umraniye dr adnan buyukdeniz caddesi ac k otopark,,,parking
İSPARK,parking,,,29.10257341527092,41.03166142830949,İSPARK,ispark,,,parking
Sancaktepe Devlet Hastanesi Otoparkı,parking,,,29.19432367881111,41.00572500391971,Sancaktepe Devlet Hastanesi Otoparkı,sancaktepe devlet hastanesi otopark,,,parking
otopark,parking,,,28.93074827749404,41.00766994448188,otopark,otopark,,,parking
Fuar Alanı Otoparkı,parking,,,28.7578121832574,41.10426454804983,Fuar Alanı Otoparkı,fuar alan otopark,,,parking
İSPARK,parking,,,28.801092445384995,41.10675876251498,İSPARK,ispark,,,parking
İSPARK,parking,,,28.692624249124588,41.06631786310814,İSPARK,ispark,,,parking
İSPARK Beyoğlu Balıkçılar Önü,parking,,,28.97400952116755,41.02201098973329,İSPARK Beyoğlu Balıkçılar Önü,ispark beyoglu bal kc lar onu,,,parking
İSPARK,parking,,,29.007912092910363,41.086998097392616,İSPARK,ispark,,,parking
Belediye Yeraltı Otoparkı,parking,,,29.228044769030102,40.99428271259544,Belediye Yeraltı Otoparkı,belediye yeralt otopark,,,parking
Sultanbeyli Katlı Otoparkı,parking,,,29.26636578461667,40.96602073224443,Sultanbeyli Katlı Otoparkı,sultanbeyli katl otopark,,,parking
İSPARK,parking,,,28.94454028986938,41.08803617423243,İSPARK,ispark,,,parking
Otopark Meydanı,parking,,,29.32165138801157,40.82752476162207,Otopark Meydanı,otopark meydan,,,parking
İspark,parking,,,29.06576544049261,41.078766717055,İspark,ispark,,,parking
İSPARK,parking,,,29.009221547273725,41.08521503570892,İSPARK,ispark,,,parking
İSPARK,parking,,,29.03781890289472,40.994765274089104,İSPARK,ispark,,,parking
Güven Otoparkı,parking,,,28.91950233588989,41.05249421428161,Güven Otoparkı,guven otopark,,,parking
İSPARK,parking,,,29.03964515559143,41.024627866598685,İSPARK,ispark,,,parking
P1 Öğrenci/Misafir Otoparkı,parking,,,29.025818575204443,41.10167404295737,P1 Öğrenci/Misafir Otoparkı,p1 ogrenci misafir otopark,,,parking
İSPARK Süleymaniye Camii Altı Açık Otoparkı,parking,,,28.96081745887509,41.01601036098514,İSPARK Süleymaniye Camii Altı Açık Otoparkı,ispark suleymaniye camii alt ac k otopark,,,parking
Otopark Meydanı,parking,,,29.319398922222604,40.82730146633688,Otopark Meydanı,otopark meydan,,,parking
Otopark Meydanı,parking,,,29.319471875437543,40.8264176793339,Otopark Meydanı,otopark meydan,,,parking
İSPARK,parking,,,29.171214710688485,40.89877940423634,İSPARK,ispark,,,parking
İspark,parking,,,29.190938938844663,40.89198219995717,İspark,ispark,,,parking
ESBAŞ Rami Otoparkı,parking,,,28.91685633249492,41.05134324712869,ESBAŞ Rami Otoparkı,esbas rami otopark,,,parking
İstanbul Havalimanı Cami Otoparkı,parking,,,28.745905548851205,41.25225132450465,İstanbul Havalimanı Cami Otoparkı,istanbul havaliman cami otopark,,,parking
İstanbul Çocukları Vakfı Otoparkı,parking,,,29.02753298850117,41.07597494441582,İstanbul Çocukları Vakfı Otoparkı,istanbul cocuklar vakf otopark,,,parking
Karadeniz Açık Otoparkı,parking,,,28.8770546853192,41.08191229404808,Karadeniz Açık Otoparkı,karadeniz ac k otopark,,,parking
Tekin 2 Otopark,parking,,,28.9087043190166,41.05801628054772,Tekin 2 Otopark,tekin 2 otopark,,,parking
Merkez Otopark,parking,,,28.90863464659733,41.05791926100312,Merkez Otopark,merkez otopark,,,parking
Baba Nayim Otoparkı,parking,,,28.91248311997161,41.05868058231332,Baba Nayim Otoparkı,baba nayim otopark,,,parking
Pierreloti Otopark,parking,,,28.93279116882275,41.05471694552142,Pierreloti Otopark,pierreloti otopark,,,parking
İspark Tuzla İDO,parking,,,29.30378581937564,40.81486147268183,İspark Tuzla İDO,ispark tuzla ido,,,parking
Koton Misafir ve Tedarikçi Otoparkı,parking,,,28.99813567139807,41.11205297628158,Koton Misafir ve Tedarikçi Otoparkı,koton misafir ve tedarikci otopark,,,parking
Dereboyu Belediye Otoparkı,parking,,,28.99758510356747,41.11726114909534,Dereboyu Belediye Otoparkı,dereboyu belediye otopark,,,parking
Migros otopark,parking,,,29.307334542937472,40.92811865841598,Migros otopark,migros otopark,,,parking
Hotel Suadiye Otoparkı,parking,,,29.081185953019272,40.95667250936801,Hotel Suadiye Otoparkı,hotel suadiye otopark,,,parking
Deniz Otopark,parking,,,28.668537265114114,41.02774773645428,Deniz Otopark,deniz otopark,,,parking
Adapark Katlı Otoparkı,parking,,,28.88724090414767,41.064110369921565,Adapark Katlı Otoparkı,adapark katl otopark,,,parking
İspark Acıbadem Açık Otoparkı,parking,,,29.057492701542067,41.01572775514471,İspark Acıbadem Açık Otoparkı,ispark ac badem ac k otopark,,,parking
Bilfen Otopark,parking,,,29.055431854471472,41.01887884718269,Bilfen Otopark,bilfen otopark,,,parking
Sorriso Restaurant Kuruçeşme Otoparkı,parking,,,29.03563768581978,41.0600581227834,Sorriso Restaurant Kuruçeşme Otoparkı,sorriso restaurant kurucesme otopark,,,parking
İSPARK Muallim Naci Açık Otoparkı,parking,,,29.03422713333333,41.05576262801664,İSPARK Muallim Naci Açık Otoparkı,ispark muallim naci ac k otopark,,,parking
Güven Otopark,parking,,,28.944488691002828,41.00846144702023,Güven Otopark,guven otopark,,,parking
İSPARK Yenikapı Marmaray Küçük Otoparkı,parking,,,28.950427389974724,41.00659325161704,İSPARK Yenikapı Marmaray Küçük Otoparkı,ispark yenikap marmaray kucuk otopark,,,parking
İSPARK Yenikapı Marmaray Büyük Otoparkı,parking,,,28.95058801919351,41.00568457794032,İSPARK Yenikapı Marmaray Büyük Otoparkı,ispark yenikap marmaray buyuk otopark,,,parking
Tura Otopark,parking,,,28.95090927562501,41.006528773842255,Tura Otopark,tura otopark,,,parking
İSPARK,parking,,,28.95086289395098,41.00638006787405,İSPARK,ispark,,,parking
İSPARK,parking,,,29.024079391634,41.11652731684672,İSPARK,ispark,,,parking
İSPARK,parking,,,29.0569874912418,41.085925325979794,İSPARK,ispark,,,parking
İSPARK,parking,,,29.05780989623206,41.10732846286255,İSPARK,ispark,,,parking
İSPARK Arnavutköy Sosyal Tesisleri,parking,,,29.0450035586861,41.06761262519116,İSPARK Arnavutköy Sosyal Tesisleri,ispark arnavutkoy sosyal tesisleri,,,parking
Mesil Otopark,parking,,,28.95575747526598,41.00558948670372,Mesil Otopark,mesil otopark,,,parking
Dadaş Otopark,parking,,,28.956808547461858,41.01234741620016,Dadaş Otopark,dadas otopark,,,parking
Vectra Otopark,parking,,,28.95520906754813,41.005840057671406,Vectra Otopark,vectra otopark,,,parking
İSPARK Yenikapı Tünel Üstü Açık Otoparkı,parking,,,28.95361511823136,41.00285004539008,İSPARK Yenikapı Tünel Üstü Açık Otoparkı,ispark yenikap tunel ustu ac k otopark,,,parking
Kadıköy Rıhtım Otel Otopark,parking,,,29.02523659444795,40.99538618462913,Kadıköy Rıhtım Otel Otopark,kad koy r ht m otel otopark,,,parking
Özel Otopark,parking,,,29.32228902890914,40.82955213005308,Özel Otopark,ozel otopark,,,parking
Tır Otoparkı,parking,,,29.3281912846602,40.82890543150501,Tır Otoparkı,t r otopark,,,parking
İspark Bostancı Sahil - Cep Açık Otoparkı,parking,,,29.088281949968447,40.95462957861375,İspark Bostancı Sahil - Cep Açık Otoparkı,ispark bostanc sahil cep ac k otopark,,,parking
İSPARK,parking,,,28.71417946597933,40.97212929701782,İSPARK,ispark,,,parking
Güneşli Katlı Otoparkı,parking,,,28.82323615174578,41.03542792199417,Güneşli Katlı Otoparkı,gunesli katl otopark,,,parking
İSPARK,parking,,,29.037929049020768,41.02009306207321,İSPARK,ispark,,,parking
Otopark Meydanı,parking,,,29.319961179277414,40.828056117728245,Otopark Meydanı,otopark meydan,,,parking
İSPARK,parking,,,29.11902140838992,40.9925226976559,İSPARK,ispark,,,parking
İSPARK,parking,,,29.27892629936024,40.83172392122466,İSPARK,ispark,,,parking
Tır Otoparkı,parking,,,29.31993279903136,40.83272433205205,Tır Otoparkı,t r otopark,,,parking
İSPARK,parking,,,28.821653226508253,40.95601620678606,İSPARK,ispark,,,parking
İspark Yalı Açık Otoparkı,parking,,,29.13705310372216,40.90949883039982,İspark Yalı Açık Otoparkı,ispark yal ac k otopark,,,parking
İSPARK Kartal Savarona Sahil Cep,parking,,,29.18199039958048,40.885936780636136,İSPARK Kartal Savarona Sahil Cep,ispark kartal savarona sahil cep,,,parking
Türk Polisini Güçlendirme Vakfı Otoparkı,parking,,,29.08026870896368,40.95571040833843,Türk Polisini Güçlendirme Vakfı Otoparkı,turk polisini guclendirme vakf otopark,,,parking
İSPARK  Küçükyalı Sahil Cep Otoparkı,parking,,,29.105609904790622,40.94451225333432,İSPARK  Küçükyalı Sahil Cep Otoparkı,ispark kucukyal sahil cep otopark,,,parking
İspark Merdivenköy Açık Otoparkı,parking,,,29.060594128472665,40.98737054933731,İspark Merdivenköy Açık Otoparkı,ispark merdivenkoy ac k otopark,,,parking
Haliç Metro Otopark,parking,,,28.969429678084406,41.02435017575042,Haliç Metro Otopark,halic metro otopark,,,parking
İSPARK,parking,,,29.12243975888604,40.927539748825,İSPARK,ispark,,,parking
İSPARK,parking,,,29.124235569940907,40.92557359011792,İSPARK,ispark,,,parking
İSPARK Dragos Sosyal Tesisleri,parking,,,29.1456484924146,40.9016263100459,İSPARK Dragos Sosyal Tesisleri,ispark dragos sosyal tesisleri,,,parking
İSPARK,parking,,,29.22752510701041,40.894870876143,İSPARK,ispark,,,parking
İSPARK,parking,,,28.98751230217374,41.11042632898044,İSPARK,ispark,,,parking
İSPARK,parking,,,28.71997209941121,40.97021182672568,İSPARK,ispark,,,parking
İSPARK TÜYAP Metrobüs Yanı Açık Otoparkı,parking,,,28.624707064689453,41.02169329775924,İSPARK TÜYAP Metrobüs Yanı Açık Otoparkı,ispark tuyap metrobus yan ac k otopark,,,parking
İstanbul Havalimanı Açık Otoparkı,parking,,,28.741799989754984,41.25633526946879,İstanbul Havalimanı Açık Otoparkı,istanbul havaliman ac k otopark,,,parking
Teknopark Otoparkı,parking,,,29.313150219366825,40.922831480309526,Teknopark Otoparkı,teknopark otopark,,,parking
Otopark,parking,,,28.59942930596007,41.01070716973147,Otopark,otopark,,,parking
Yeraltı Otopark,parking,,,28.577739538907714,41.02068053452937,Yeraltı Otopark,yeralt otopark,,,parking
Askerlik Şubesi Otoparkı,parking,,,28.75654548781195,40.98230519363027,Askerlik Şubesi Otoparkı,askerlik subesi otopark,,,parking
İSPARK,parking,,,28.65353435656249,40.96392505560165,İSPARK,ispark,,,parking
Perpa Ticaret Merkezi Açık Otopark 1,parking,,,28.968088968152127,41.06100362069158,Perpa Ticaret Merkezi Açık Otopark 1,perpa ticaret merkezi ac k otopark 1,,,parking
İSPARK,parking,,,29.192818516315484,40.91360031472092,İSPARK,ispark,,,parking
İSPARK,parking,,,28.94513391904095,41.16877780113957,İSPARK,ispark,,,parking
İSPARK,parking,,,28.85009702304257,40.99796786434037,İSPARK,ispark,,,parking
Aksaray Otoparkı,parking,,,28.95069670868318,41.00422287792623,Aksaray Otoparkı,aksaray otopark,,,parking
Kınalı Yediemin Otoparkı,parking,,,28.105705350031485,41.06696712721533,Kınalı Yediemin Otoparkı,k nal yediemin otopark,,,parking
İSPARK Pendik Sahil Otopark Girişi,parking,,,29.232661030465525,40.87495279924873,İSPARK Pendik Sahil Otopark Girişi,ispark pendik sahil otopark girisi,,,parking
İSPARK,parking,,,28.97806743526061,41.00417314590964,İSPARK,ispark,,,parking
Nikah Sarayı Otoparkı,parking,,,28.79776027650874,41.11760557038927,Nikah Sarayı Otoparkı,nikah saray otopark,,,parking
İSPARK,parking,,,28.97045102011305,41.0948541898261,İSPARK,ispark,,,parking
{{categories:urban_roadnet_parking_lot}},parking,,,29.0757636517662,41.05220152897191,{{categories:urban_roadnet_parking_lot}},categories urban roadnet parking lot,,,parking
Sistem Yedi Emin Otoparkı,parking,,,28.512058260926068,41.009737368145736,Sistem Yedi Emin Otoparkı,sistem yedi emin otopark,,,parking
İSPARK,parking,,,29.30808484874925,40.92691351758561,İSPARK,ispark,,,parking
