name,shop,leisure,longitude,latitude
HB Fitness,,fitness_centre,29.1146563,40.9841084
Ahmet Koç Gym & Fitness,,fitness_centre,28.6751195,41.0316335
Flash Gym,,fitness_centre,28.9766848,41.0333031
MACFit,,fitness_centre,29.0648178,40.9674907
Pro Studio Pilates,,fitness_centre,29.2328565,40.8760114
performance gym clup,,fitness_centre,29.2237689,41.0310467
Level UP Pilates&Personal Training Studio,,fitness_centre,29.0734038,40.9646375
MACFit,,fitness_centre,28.9101313,41.0533244
Oxygen Fitness,,fitness_centre,29.1412821,40.9993675
Luna Pilates Studio,,fitness_centre,29.1140552,40.9794444
Eagle Fitness Center,,fitness_centre,29.22693,40.9021813
Golden Life Sports & Fitness,,fitness_centre,29.2251345,40.9090998
Pilates in Paradise,,fitness_centre,29.1101672,40.9840767
MACFit,,fitness_centre,29.0837158,40.9722487
My Studio Pilates,,fitness_centre,29.1198085,40.9823608
Red&Black Fitness,,fitness_centre,28.8629343,41.1020069
En Fit Body,,fitness_centre,29.0839988,40.9602362
FitnessMax PT Studio,,fitness_centre,29.1741811,41.0331967
MACFit,,fitness_centre,29.0559135,40.9731311
90216 Gym,,fitness_centre,29.1240568,40.9785318
Relax Gym,,fitness_centre,28.8637101,41.1011997
Non Stop Fitness,,fitness_centre,29.307862,40.8297207
Gym Beam,,fitness_centre,29.0866842,40.9661342
Hercules Fitness Center,,fitness_centre,29.306262,40.9123601
Galanthus Pilates,,fitness_centre,28.8256282,41.0238385
Galanthus Pilates,,fitness_centre,28.825437,41.023461
City's Pilates,,fitness_centre,29.0658111,40.9678928
Songül Kara Pilates Stüdyo,,fitness_centre,29.0957431,40.9747277
Jump&Fly Studio,,fitness_centre,29.3674162,40.9362726
Dr. Mimar Kadir Topbaş Spor Kompleksi - Fitness Salonu,,fitness_centre,29.2355088,41.0479608
MACFit,,fitness_centre,29.1250671,41.0271188
Tevetoğlu Fitness,,fitness_centre,29.30405,40.9164234
MACFit,,fitness_centre,29.2332818,40.8890252
MACFit,,fitness_centre,29.2312414,40.9914294
Cats Pilates,,fitness_centre,29.0699468,40.965735
Aletya Yoga & Pilates Studio,,fitness_centre,29.0125393,41.1983652
Fitness Form Center,,fitness_centre,29.0774153,40.9782879
MACFit,,fitness_centre,29.1400538,41.0025523
Nefis Hayat Yoga Stüdyosu,,fitness_centre,29.30523,40.8244066
Alisay Pilates Studio,,fitness_centre,29.1351476,40.9318102
Cihangir Yoga,,fitness_centre,29.1340055,40.9336669
No: 6:15 Studio,,fitness_centre,29.1341955,40.9339175
Yunus Emre Kul Fitness,,fitness_centre,29.1311122,40.9327255
